codigo,ayuntamiento,CODPROV,provincia,salario,poblacion,dedicación
42202,Velilla de los Ajos,42,Soria,3337.1,47,sin dedicación
34199,Velilla del Río Carrión,34,Palencia,3412.5,47,exclusiva
37347,"Vellés, La",37,Salamanca,3475.86,47,sin dedicación
47191,Velliza,47,Valladolid,3480,47,sin dedicación
49234,Venialbo,49,Zamora,3500,46,sin dedicación
34023,Venta de Baños,34,Palencia,3500,46,sin dedicación
47192,Ventosa de la Cuesta,47,Valladolid,3500,46,sin dedicación
37348,Ventosa del Río Almar,37,Salamanca,3517.87,46,sin dedicación
40224,Ventosilla y Tejadilla,40,Segovia,3600,46,sin dedicación
34201,Vertavillo,34,Palencia,3600,46,sin dedicación
49235,Vezdemarbán,49,Zamora,3630,46,sin dedicación
47193,Viana de Cega,47,Valladolid,3660,45,parcial
42204,Viana de Duero,42,Soria,3668.41,45,sin dedicación
9422,"Vid de Bureba, La",9,Burgos,3712.4,45,sin dedicación
34093,"Vid de Ojeda, La",34,Palencia,3728,45,sin dedicación
9421,"Vid y Barrios, La",9,Burgos,3750,45,sin dedicación
49236,Vidayanes,49,Zamora,3780.23,45,sin dedicación
49237,Videmala,49,Zamora,3790,45,sin dedicación
37349,"Vídola, La",37,Salamanca,3800,44,sin dedicación
9423,Vileña,9,Burgos,3806.75,44,sin dedicación
47195,Villabáñez,47,Valladolid,3864.49,44,sin dedicación
47196,Villabaruz de Campos,47,Valladolid,3900,44,sin dedicación
34202,Villabasta de Valdavia,34,Palencia,3900,44,sin dedicación
24202,Villablino,24,León,3906.4,44,exclusiva
47197,Villabrágima,47,Valladolid,3960,44,parcial
24203,Villabraz,24,León,3986.5,44,sin dedicación
49238,Villabrázaro,49,Zamora,4001.13,44,sin dedicación
49239,Villabuena del Puente,49,Zamora,4079.06,44,parcial
40225,Villacastín,40,Segovia,4088.71,43,sin dedicación
47199,Villacid de Campos,47,Valladolid,4102.83,43,sin dedicación
34204,Villacidaler,34,Palencia,4119.65,43,sin dedicación
42205,Villaciervos,42,Soria,4182.18,43,sin dedicación
47200,Villaco,47,Valladolid,4200,43,sin dedicación
34205,Villaconancio,34,Palencia,4226.95,43,sin dedicación
34206,Villada,34,Palencia,4240,43,sin dedicación
24205,Villadangos del Páramo,24,León,4250,43,exclusiva
24207,Villademor de la Vega,24,León,4270,43,sin dedicación
49240,Villadepera,49,Zamora,4276,43,parcial
9427,Villadiego,9,Burgos,4383.02,43,parcial
34208,Villaeles de Valdavia,34,Palencia,4443.95,42,sin dedicación
9428,Villaescusa de Roa,9,Burgos,4503.18,42,sin dedicación
9429,Villaescusa la Sombría,9,Burgos,4549.98,42,sin dedicación
9430,Villaespasa,9,Burgos,4562.78,42,sin dedicación
49242,Villafáfila,49,Zamora,4579.02,42,sin dedicación
49243,Villaferrueña,49,Zamora,4588.74,42,sin dedicación
47203,Villafrades de Campos,47,Valladolid,4654,42,sin dedicación
47204,Villafranca de Duero,47,Valladolid,4690,42,parcial
5257,Villafranca de la Sierra,5,Ávila,4691.93,41,sin dedicación
24209,Villafranca del Bierzo,24,León,4733.94,41,parcial
9431,Villafranca Montes de Oca,9,Burgos,4746.67,41,sin dedicación
9432,Villafruela,9,Burgos,4771.6,41,sin dedicación
47206,Villafuerte,47,Valladolid,4800,41,sin dedicación
9433,Villagalijo,9,Burgos,4875,41,sin dedicación
47207,Villagarcía de Campos,47,Valladolid,4913.51,41,sin dedicación
47208,Villagómez la Nueva,47,Valladolid,4935.41,40,sin dedicación
37352,Villagonzalo de Tormes,37,Salamanca,5023.98,40,sin dedicación
9434,Villagonzalo Pedernales,9,Burgos,5075,40,exclusiva
34210,Villahán,34,Palencia,5150,40,sin dedicación
34211,Villaherreros,34,Palencia,5172.89,40,parcial
34213,Villalaco,34,Palencia,5195.86,40,sin dedicación
47209,Villalán de Campos,47,Valladolid,5220,40,sin dedicación
47210,Villalar de los Comuneros,47,Valladolid,5268.48,40,sin dedicación
9438,Villalba de Duero,9,Burgos,5320.72,40,sin dedicación
34214,Villalba de Guardo,34,Palencia,5330.59,40,sin dedicación
49246,VILLALBA DE LA LAMPREANA,49,Zamora,5350.02,39,sin dedicación
